date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:29:30	57448/57448	---M--	200	added ('OK')	image/jpeg	etag:%225be0461b-e068%22	http://bankhar.mn/shopse/demos/img/banner/style7/banner3.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/banner/style7/banner3.jpg	(from http://bankhar.mn/shopse/demos/index-15.html)
17:29:31	48230/48230	---M--	200	added ('OK')	image/jpeg	etag:%225be0461b-bc66%22	http://bankhar.mn/shopse/demos/img/banner/style7/banner4.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/banner/style7/banner4.jpg	(from http://bankhar.mn/shopse/demos/index-15.html)
17:29:43	66521/66521	---M--	200	added ('OK')	image/jpeg	etag:%225be0461b-103d9%22	http://bankhar.mn/shopse/demos/img/banner/style4/banner2.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/banner/style4/banner2.jpg	(from http://bankhar.mn/shopse/demos/index-16.html)
17:29:43	66566/66566	---M--	200	added ('OK')	image/jpeg	etag:%225be0461b-10406%22	http://bankhar.mn/shopse/demos/img/banner/style4/banner3.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/banner/style4/banner3.jpg	(from http://bankhar.mn/shopse/demos/index-16.html)
17:29:57	136817/136817	---M--	200	added ('OK')	image/jpeg	etag:%225be0461b-21671%22	http://bankhar.mn/shopse/demos/img/banner/style4/banner4.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/banner/style4/banner4.jpg	(from http://bankhar.mn/shopse/demos/index-16.html)
17:29:57	224140/224140	---M--	200	added ('OK')	image/jpeg	etag:%225be0461b-36b8c%22	http://bankhar.mn/shopse/demos/img/banner/style4/banner1.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/banner/style4/banner1.jpg	(from http://bankhar.mn/shopse/demos/index-16.html)
17:30:04	129907/129907	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-1fb73%22	http://bankhar.mn/shopse/demos/img/portfolio/12.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/portfolio/12.jpg	(from http://bankhar.mn/shopse/demos/index-16.html)
17:30:10	188826/188826	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-2e19a%22	http://bankhar.mn/shopse/demos/img/portfolio/11.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/portfolio/11.jpg	(from http://bankhar.mn/shopse/demos/index-16.html)
17:30:22	130567/130567	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-1fe07%22	http://bankhar.mn/shopse/demos/img/portfolio/14.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/portfolio/14.jpg	(from http://bankhar.mn/shopse/demos/index-16.html)
17:30:32	219978/219978	---M--	200	added ('OK')	image/jpeg	etag:%225be04619-35b4a%22	http://bankhar.mn/shopse/demos/img/portfolio/13.jpg	C:/Users/admin/Desktop/Shopping/Shopping/bankhar.mn/shopse/demos/img/portfolio/13.jpg	(from http://bankhar.mn/shopse/demos/index-16.html)
